Name	Year	Decade	Abilities	AbilitiesCount	Partnerships	PartnershipsCount	URL	ImageURL	localFilePath	NameCaps	PartnershipsCaps	AbilitiesCaps
Angel Dust	2002	2000	Formerly:,Superhuman strength,Enhanced speed,agility,stamina	5		0	https://en.wikipedia.org/wiki/Angel_Dust_(comics)	https://None	N/A	ANGEL DUST		FORMERLY:,SUPERHUMAN STRENGTH,ENHANCED SPEED,AGILITY,STAMINA
Angela	1993	1990	Immortality,Superhuman Strength, Speed, Agility, Stamina, Reflexes and Endurance,Flight,Master Hand-to-Hand Combatant	4		0	https://en.wikipedia.org/wiki/Angela_(comics)	https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Angelamarveluniverse.jpg/250px-Angelamarveluniverse.jpg	./img.marvel_chars/25.jpg	ANGELA		IMMORTALITY,SUPERHUMAN STRENGTH, SPEED, AGILITY, STAMINA, REFLEXES AND ENDURANCE,FLIGHT,MASTER HAND-TO-HAND COMBATANT
Dirk Anger	2006	2000	Chemically retarded aging process	1		0	https://en.wikipedia.org/wiki/Dirk_Anger	https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/One_Crazy_MammaJamma.jpg/250px-One_Crazy_MammaJamma.jpg	./img.marvel_chars/26.jpg	DIRK ANGER		CHEMICALLY RETARDED AGING PROCESS
Annex	1993	1990	superhuman athletic ability,weapon creation,flight,informational downloading methods	4		0	https://en.wikipedia.org/wiki/Annex_(comics)	https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Annex_%28Marvel_Comics_character%29.jpg/250px-Annex_%28Marvel_Comics_character%29.jpg	./img.marvel_chars/27.jpg	ANNEX		SUPERHUMAN ATHLETIC ABILITY,WEAPON CREATION,FLIGHT,INFORMATIONAL DOWNLOADING METHODS
Anole	2003	2000	Green scaly skin,,Spiked head carapace,,Prehensile sticky tongue,,Superhuman agility, speed, reflexes/reactions, coordination, balance,Wallcrawling,,Regeneration,,Camouflage	7		0	https://en.wikipedia.org/wiki/Anole_(comics)	https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Anole23.jpg/250px-Anole23.jpg	./img.marvel_chars/28.jpg	ANOLE		GREEN SCALY SKIN,,SPIKED HEAD CARAPACE,,PREHENSILE STICKY TONGUE,,SUPERHUMAN AGILITY, SPEED, REFLEXES/REACTIONS, COORDINATION, BALANCE,WALLCRAWLING,,REGENERATION,,CAMOUFLAGE
Ant-Man	1979	1970	Electronics expert,Uniform grants:,Size manipulation,Telepathic insect communication,Helmet with a retractable plexiglass face shield,a limited air supply,Maintains normal-size strength in shrunken state,Ability to shrink to sub-microscopic size,enter the  subatomic universes	9		0	https://en.wikipedia.org/wiki/Ant-Man_(Scott_Lang)	https://upload.wikimedia.org/wikipedia/en/9/9a/AntmanAH.JPG	./img.marvel_chars/29.JPG	ANT-MAN		ELECTRONICS EXPERT,UNIFORM GRANTS:,SIZE MANIPULATION,TELEPATHIC INSECT COMMUNICATION,HELMET WITH A RETRACTABLE PLEXIGLASS FACE SHIELD,A LIMITED AIR SUPPLY,MAINTAINS NORMAL-SIZE STRENGTH IN SHRUNKEN STATE,ABILITY TO SHRINK TO SUB-MICROSCOPIC SIZE,ENTER THE  SUBATOMIC UNIVERSES
Anthem	2007	2000	Blast Power,Electricity Control,Flight	3		0	https://en.wikipedia.org/wiki/Anthem_(comics)	https://upload.wikimedia.org/wikipedia/en/9/9b/Anthem_%28comics%29.jpg	./img.marvel_chars/30.jpg	ANTHEM		BLAST POWER,ELECTRICITY CONTROL,FLIGHT
Apex	2012	2010	Technopath	1		0	https://en.wikipedia.org/wiki/Apex_(comics)	https://None	N/A	APEX		TECHNOPATH
Arabian Knight	1981	1980	Exceptional swordsman,Use of magic carpet,sash,scimitar	4		0	https://en.wikipedia.org/wiki/Arabian_Knight_(comics)	https://None	N/A	ARABIAN KNIGHT		EXCEPTIONAL SWORDSMAN,USE OF MAGIC CARPET,SASH,SCIMITAR
Aragorn	1968	1960	Flight via feathered wings,Enhanced intelligence,Experienced battle steed	3	Black Knight,Valkyrie	2	https://en.wikipedia.org/wiki/Aragorn_(comics)	https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/ValkyrieDefenders4.jpg/200px-ValkyrieDefenders4.jpg	./img.marvel_chars/33.jpg	ARAGORN	BLACK KNIGHT,VALKYRIE	FLIGHT VIA FEATHERED WINGS,ENHANCED INTELLIGENCE,EXPERIENCED BATTLE STEED
Anya Corazon	2004	2000	Superhuman strength,speed,stamina,agility,reflexes/reactions,coordination,balance,endurance,Ability to stick to solid surfaces,create a blue  symbiote -like protective exoskeleton	10	Ms. Marvel,Spider-Man,Spider-Woman	3	https://en.wikipedia.org/wiki/Anya_Corazon	https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Spider-Girl_%28Anya%29_1cover.jpg/250px-Spider-Girl_%28Anya%29_1cover.jpg	./img.marvel_chars/34.jpg	ANYA CORAZON	MS. MARVEL,SPIDER-MAN,SPIDER-WOMAN	SUPERHUMAN STRENGTH,SPEED,STAMINA,AGILITY,REFLEXES/REACTIONS,COORDINATION,BALANCE,ENDURANCE,ABILITY TO STICK TO SOLID SURFACES,CREATE A BLUE  SYMBIOTE -LIKE PROTECTIVE EXOSKELETON
Arcanna	1982	1980	(Arcanna (Earth-712)),Psychic awareness,Magic abilities,Flight,(Arcanna (Earth-31916)),Ability to perceive,influence parallel quantum dimensions	7		0	https://en.wikipedia.org/wiki/Arcanna	https://None	N/A	ARCANNA		(ARCANNA (EARTH-712)),PSYCHIC AWARENESS,MAGIC ABILITIES,FLIGHT,(ARCANNA (EARTH-31916)),ABILITY TO PERCEIVE,INFLUENCE PARALLEL QUANTUM DIMENSIONS
Archer	2020	2020	Energy form,Energy blasts,Superhuman agility	3		0	https://en.wikipedia.org/wiki/Archer_(Marvel_Comics)	https://upload.wikimedia.org/wikipedia/en/5/5b/Archerxf140.jpg	./img.marvel_chars/36.jpg	ARCHER		ENERGY FORM,ENERGY BLASTS,SUPERHUMAN AGILITY
Ares	1966	1960	Expert armed combatant with weaponry,Superhuman strength,speed,agility,stamina,durability,reflexes superior to that of most Olympians,Magic manipulation,Immunity to all diseases,infections,Virtual immortality,Shapeshifting	12		0	https://en.wikipedia.org/wiki/Ares_(Marvel_Comics)	https://upload.wikimedia.org/wikipedia/en/2/2c/Aresherc.png	./img.marvel_chars/37.png	ARES		EXPERT ARMED COMBATANT WITH WEAPONRY,SUPERHUMAN STRENGTH,SPEED,AGILITY,STAMINA,DURABILITY,REFLEXES SUPERIOR TO THAT OF MOST OLYMPIANS,MAGIC MANIPULATION,IMMUNITY TO ALL DISEASES,INFECTIONS,VIRTUAL IMMORTALITY,SHAPESHIFTING
Ariel	1987	1980	Psychic persuasion,Ability to link doorways through a sub-dimensional access	2		0	https://en.wikipedia.org/wiki/Ariel_(comics)	https://upload.wikimedia.org/wikipedia/en/1/1c/ArielC.png	./img.marvel_chars/38.png	ARIEL		PSYCHIC PERSUASION,ABILITY TO LINK DOORWAYS THROUGH A SUB-DIMENSIONAL ACCESS
Arkon	1970	1970	Cunning military strategist,Extraordinary hand-to-hand combatant,swordsman,Superhuman strength,speed,agility,stamina,durability,reflexes,Accelerated healing factor,Highly skilled with throwing weapons,Possesses three lightning-shaped energy weapons,a shield,Rides on various dinosaur-like mounts	14	Enchantress	1	https://en.wikipedia.org/wiki/Arkon	https://upload.wikimedia.org/wikipedia/en/6/6c/ArkonC.png	./img.marvel_chars/39.png	ARKON	ENCHANTRESS	CUNNING MILITARY STRATEGIST,EXTRAORDINARY HAND-TO-HAND COMBATANT,SWORDSMAN,SUPERHUMAN STRENGTH,SPEED,AGILITY,STAMINA,DURABILITY,REFLEXES,ACCELERATED HEALING FACTOR,HIGHLY SKILLED WITH THROWING WEAPONS,POSSESSES THREE LIGHTNING-SHAPED ENERGY WEAPONS,A SHIELD,RIDES ON VARIOUS DINOSAUR-LIKE MOUNTS
Armor	2004	2000	Ability to generate an impenetrable psionic exoskeleton body armor that grants superhuman strength,invulnerability,reflexes,agility,endurance,stamina,dexterity,durability	8		0	https://en.wikipedia.org/wiki/Armor_(comics)	https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/ArmorX-Men.png/250px-ArmorX-Men.png	./img.marvel_chars/40.png	ARMOR		ABILITY TO GENERATE AN IMPENETRABLE PSIONIC EXOSKELETON BODY ARMOR THAT GRANTS SUPERHUMAN STRENGTH,INVULNERABILITY,REFLEXES,AGILITY,ENDURANCE,STAMINA,DEXTERITY,DURABILITY
Armory	2020	2020	Ability to control the Tactigon,an alien-created weapon worn on the arm that is seemingly able to transform into any weapon that she may need at a given time	2		0	https://en.wikipedia.org/wiki/Armory_(comics)	https://upload.wikimedia.org/wikipedia/en/2/27/AVNINITANN001_cov_col.jpg	./img.marvel_chars/41.jpg	ARMORY		ABILITY TO CONTROL THE TACTIGON,AN ALIEN-CREATED WEAPON WORN ON THE ARM THAT IS SEEMINGLY ABLE TO TRANSFORM INTO ANY WEAPON THAT SHE MAY NEED AT A GIVEN TIME
Astra	1977	1970	Density alteration	1		0	https://en.wikipedia.org/wiki/Astra_(comics)	https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Astrawiki.jpg/185px-Astrawiki.jpg	./img.marvel_chars/42.jpg	ASTRA		DENSITY ALTERATION
Vance Astro	1969	1960	Psychokinesis,Above average athlete,Excellent astronaut,starship pilot,hand to hand combatant,Superb leader,strategist,Formerly:,Use of indestructible shield,Wears copper alloy bodysuit	10		0	https://en.wikipedia.org/wiki/Vance_Astro	https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Vanceastro.jpg/250px-Vanceastro.jpg	./img.marvel_chars/43.jpg	VANCE ASTRO		PSYCHOKINESIS,ABOVE AVERAGE ATHLETE,EXCELLENT ASTRONAUT,STARSHIP PILOT,HAND TO HAND COMBATANT,SUPERB LEADER,STRATEGIST,FORMERLY:,USE OF INDESTRUCTIBLE SHIELD,WEARS COPPER ALLOY BODYSUIT
Vance Astrovik	1975	1970	Telekinesis,High-speed flight	2		0	https://en.wikipedia.org/wiki/Vance_Astrovik	https://upload.wikimedia.org/wikipedia/en/8/8b/Vance_Astrovik.jpg	./img.marvel_chars/44.jpg	VANCE ASTROVIK		TELEKINESIS,HIGH-SPEED FLIGHT
Atalanta	2020	2020	Energy bow	1		0	https://en.wikipedia.org/wiki/Atalanta_(Marvel_Comics)	https://None	N/A	ATALANTA		ENERGY BOW
Athena	1969	1960	Super-genius Intellect,enhanced by Cosmic Awareness,Superhuman strength,speed,stamina,agility,Immortality,Mastery over multiple forms of combat,Limited transmutation,Flight,Ability to cast permanent curses upon mortals,their descendants,Lightning projection inherited from Zeus	13		0	https://en.wikipedia.org/wiki/Athena_(Marvel_Comics)	https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Athena_in_Hercules.jpg/159px-Athena_in_Hercules.jpg	./img.marvel_chars/46.jpg	ATHENA		SUPER-GENIUS INTELLECT,ENHANCED BY COSMIC AWARENESS,SUPERHUMAN STRENGTH,SPEED,STAMINA,AGILITY,IMMORTALITY,MASTERY OVER MULTIPLE FORMS OF COMBAT,LIMITED TRANSMUTATION,FLIGHT,ABILITY TO CAST PERMANENT CURSES UPON MORTALS,THEIR DESCENDANTS,LIGHTNING PROJECTION INHERITED FROM ZEUS
Aurora	1979	1970	Flight,Superhuman speed,Superhuman durability,Light generation/manipulation,Light projection	5		0	https://en.wikipedia.org/wiki/Aurora_(comics)	https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Aurorabyrne.png/200px-Aurorabyrne.png	./img.marvel_chars/47.png	AURORA		FLIGHT,SUPERHUMAN SPEED,SUPERHUMAN DURABILITY,LIGHT GENERATION/MANIPULATION,LIGHT PROJECTION
Backhand	1987	1980	Energy redirection,Enhanced strength	2		0	https://en.wikipedia.org/wiki/Backhand_(comics)	https://None	N/A	BACKHAND		ENERGY REDIRECTION,ENHANCED STRENGTH
Balder the Brave	1962	1960	Superhuman strength, speed, durability, and longevity,Light manipulation	2		0	https://en.wikipedia.org/wiki/Balder_(comics)	https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Balder_%28comics%29.jpg/250px-Balder_%28comics%29.jpg	./img.marvel_chars/49.jpg	BALDER THE BRAVE		SUPERHUMAN STRENGTH, SPEED, DURABILITY, AND LONGEVITY,LIGHT MANIPULATION
Banshee	1967	1960	Superhuman hearing,Sonic screams,Flight,Concussive blasts,Sonic energy lances,Ability to cause nausea, disorientation, or unconsciousness,Immunity to powers of Black Tom Cassidy	7		0	https://en.wikipedia.org/wiki/Banshee_(comics)	https://upload.wikimedia.org/wikipedia/en/thumb/5/58/BansheeBraithwaite.png/250px-BansheeBraithwaite.png	./img.marvel_chars/50.png	BANSHEE		SUPERHUMAN HEARING,SONIC SCREAMS,FLIGHT,CONCUSSIVE BLASTS,SONIC ENERGY LANCES,ABILITY TO CAUSE NAUSEA, DISORIENTATION, OR UNCONSCIOUSNESS,IMMUNITY TO POWERS OF BLACK TOM CASSIDY
Rikki Barnes	1996	1990		0	Captain America	1	https://en.wikipedia.org/wiki/Rikki_Barnes	https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Nomad_Girl_Without_a_World_1.jpg/250px-Nomad_Girl_Without_a_World_1.jpg	./img.marvel_chars/51.jpg	RIKKI BARNES	CAPTAIN AMERICA	
Base	2020	2020	Control over the four elements,superhuman strength	2		0	https://en.wikipedia.org/wiki/Base_(comics)	https://upload.wikimedia.org/wikipedia/en/3/3e/Base-HiroSokuto.gif	./img.marvel_chars/52.gif	BASE		CONTROL OVER THE FOUR ELEMENTS,SUPERHUMAN STRENGTH
Battlestar	1986	1980	Superhuman strength,stamina,durability,agility,reflexes,Highly trained acrobat,gymnast,Wields a near indestructible  adamantium  shield	8	U.S. Agent	1	https://en.wikipedia.org/wiki/Battlestar_(comics)	https://upload.wikimedia.org/wikipedia/en/7/78/Battlestarm0.png	./img.marvel_chars/53.png	BATTLESTAR	U.S. AGENT	SUPERHUMAN STRENGTH,STAMINA,DURABILITY,AGILITY,REFLEXES,HIGHLY TRAINED ACROBAT,GYMNAST,WIELDS A NEAR INDESTRUCTIBLE  ADAMANTIUM  SHIELD
Batwing	1995	1990	Superhuman speed,Flight via bat wings,Enhanced hearing,Echolocation,Night vision,Sharp claws,fangs	7		0	https://en.wikipedia.org/wiki/Batwing_(Marvel_Comics)	https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Untold_spiderm2.jpg/250px-Untold_spiderm2.jpg	./img.marvel_chars/54.jpg	BATWING		SUPERHUMAN SPEED,FLIGHT VIA BAT WINGS,ENHANCED HEARING,ECHOLOCATION,NIGHT VISION,SHARP CLAWS,FANGS
Baymax	1998	1990	Morph body into  dragon  or  mecha	1	Hiro Takachiho	1	https://en.wikipedia.org/wiki/Baymax	https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Baymax_%28Marvel_Comics%29.jpg/250px-Baymax_%28Marvel_Comics%29.jpg	./img.marvel_chars/55.jpg	BAYMAX	HIRO TAKACHIHO	MORPH BODY INTO  DRAGON  OR  MECHA
Beast	1963	1960	Animal-like physiology with razor sharp claws and teeth,Genius-level intellect,Enhanced physical attributes,Pheromone manipulation	4		0	https://en.wikipedia.org/wiki/Beast_(comics)	https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/HenryMcCoy-Beast.jpg/250px-HenryMcCoy-Beast.jpg	./img.marvel_chars/56.jpg	BEAST		ANIMAL-LIKE PHYSIOLOGY WITH RAZOR SHARP CLAWS AND TEETH,GENIUS-LEVEL INTELLECT,ENHANCED PHYSICAL ATTRIBUTES,PHEROMONE MANIPULATION
Bedlam	1995	1990	Ability to disable any EM-powered equipment,Ability to scan,perceive existing energy fields,Ability to scramble the human brain's neural chemistry	4		0	https://en.wikipedia.org/wiki/Bedlam_(comics)	https://upload.wikimedia.org/wikipedia/en/c/c1/BedlamXForce.jpg	./img.marvel_chars/57.jpg	BEDLAM		ABILITY TO DISABLE ANY EM-POWERED EQUIPMENT,ABILITY TO SCAN,PERCEIVE EXISTING ENERGY FIELDS,ABILITY TO SCRAMBLE THE HUMAN BRAIN'S NEURAL CHEMISTRY
Beetle	1964	1960		0		0	https://en.wikipedia.org/wiki/Beetle_(comics)	https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Spider-Man_Web_of_Doom_3.jpg/250px-Spider-Man_Web_of_Doom_3.jpg	./img.marvel_chars/58.jpg	BEETLE		
Bengal	1988	1980	Master martial artist,Exceptional athlete,Excellent acrobat,Skilled archer,tracker,Enhanced sense of smell	6		0	https://en.wikipedia.org/wiki/Bengal_(comics)	https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Bengsl.jpg/250px-Bengsl.jpg	./img.marvel_chars/59.jpg	BENGAL		MASTER MARTIAL ARTIST,EXCEPTIONAL ATHLETE,EXCELLENT ACROBAT,SKILLED ARCHER,TRACKER,ENHANCED SENSE OF SMELL
Bereet	1977	1970		0		0	https://en.wikipedia.org/wiki/Bereet	https://upload.wikimedia.org/wikipedia/en/0/01/Bereet.jpg	./img.marvel_chars/60.jpg	BEREET		
Beta Ray Bill	1983	1980	"Superhuman strength, durability, longevity, and speed,Abilities via Stormbreaker:

Electric manipulation
Flight
Weather manipulation,Electric manipulation,Flight,Weather manipulation"	5		0	https://en.wikipedia.org/wiki/Beta_Ray_Bill	https://upload.wikimedia.org/wikipedia/en/thumb/b/bf/Beta_Ray_Bill.jpg/250px-Beta_Ray_Bill.jpg	./img.marvel_chars/61.jpg	BETA RAY BILL		"SUPERHUMAN STRENGTH, DURABILITY, LONGEVITY, AND SPEED,ABILITIES VIA STORMBREAKER:

ELECTRIC MANIPULATION
FLIGHT
WEATHER MANIPULATION,ELECTRIC MANIPULATION,FLIGHT,WEATHER MANIPULATION"
Big Bertha	1989	1980	Skilled aircraft pilot,Superhuman strength,durability,Ability to alter size,mass of her body,leap great distances	6		0	https://en.wikipedia.org/wiki/Big_Bertha_(comics)	https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Big_Bertha_from_GLA_1_June_2005.jpg/230px-Big_Bertha_from_GLA_1_June_2005.jpg	./img.marvel_chars/62.jpg	BIG BERTHA		SKILLED AIRCRAFT PILOT,SUPERHUMAN STRENGTH,DURABILITY,ABILITY TO ALTER SIZE,MASS OF HER BODY,LEAP GREAT DISTANCES
